;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
0;1522254810556387328;https://twitter.com/twitter/statuses/1522254810556387328;2022-05-05 16:40:03+00:00;WatcherGuru;True;Texas, USA;20;877062;6877;4380;668;[{'text': 'LUNA', 'indices': [15, 20]}, {'text': 'Bitcoin', 'indices': [56, 64]}];popular;[];JUST IN: Terra #LUNA has purchased an additional 37,863 #Bitcoin ($1.5 billion) for its reserve.;JUST IN Terra #LUNA has purchased an additional 37,863 #Bitcoin ($1.5 billion for its reserve.;[{'label': 'Neutral', 'score': 0.917302131652832}];Neutral;0.917302131652832;2022-05-05
3330;1522233733876797446;https://twitter.com/twitter/statuses/1522233733876797446;2022-05-05 15:16:18+00:00;crypto_banter;False;;1108;262524;2745;68;11;[];recent;[];"Which of these will be here in the next 5 years?

1. Btc
2. Eth
3. Bnb
4. Sol
5. XRP
6. Luna
7. Ada
8. Doge
9. Avax… https://t.co/szmkVWJBVv";Which of these will be here in the next 5 years? 1 Btc 2 Eth 3 Bnb 4 Sol 5 XRP 6 Luna 7 Ada 8 Doge 9 Avax https://t.co/szmkVWJBVv;[{'label': 'Neutral', 'score': 0.8717793822288513}];Neutral;0.8717793822288513;2022-05-05
3289;1522234016266874881;https://twitter.com/twitter/statuses/1522234016266874881;2022-05-05 15:17:25+00:00;SebasC368;False;Web3CityNFT;452;379;1083;6;0;[];recent;[];"I’m catching the drop. 
😅😅 

$Luna $BTC $ETH https://t.co/BfdKWxHqV2";I’m catching the drop 😅 $Luna $BTC $ETH https://t.co/BfdKWxHqV2;[{'label': 'Neutral', 'score': 0.5606648325920105}];Neutral;0.5606648325920105;2022-05-05
3307;1522233863774347265;https://twitter.com/twitter/statuses/1522233863774347265;2022-05-05 15:16:49+00:00;TyrionLannAmp;False;Kings Landing ;442;1540;6464;6;0;[];recent;[{'screen_name': 'CryptosR_Us', 'name': 'Cryptosrus', 'id': 877357064724520961, 'id_str': '877357064724520961', 'indices': [0, 12]}];"@CryptosR_Us This was the dip I was waiting for

Stacked up on my $luna bag";_Us This was the dip I was waiting for Stacked up on my $luna bag;[{'label': 'Positive', 'score': 0.7825192809104919}];Positive;0.7825192809104919;2022-05-05
3408;1522233307895070720;https://twitter.com/twitter/statuses/1522233307895070720;2022-05-05 15:14:36+00:00;Luna_Seleneeeee;False;;786;511;24362;6;1;[];recent;[];Hello everyone! If it is not too much po and makakapagstream while sleeping pwede din po ninyo gamitin ang playlist… https://t.co/ZYRUGepCNI;Hello everyone If it is not too much po and makakapagstream while sleeping pwede din po ninyo gamitin ang playlist https://t.co/ZYRUGepCNI;[{'label': 'Neutral', 'score': 0.682293176651001}];Neutral;0.682293176651001;2022-05-05
3418;1522233255054950401;https://twitter.com/twitter/statuses/1522233255054950401;2022-05-05 15:14:24+00:00;SeuldNFT;False;;468;2516;134;495;693;[];recent;[{'screen_name': 'SeuldNFT', 'name': 'Seuld $LUNA TO $1000', 'id': 1509203637620387851, 'id_str': '1509203637620387851', 'indices': [78, 87]}, {'screen_name': 'AcademyAliens', 'name': 'Alien Academy', 'id': 1510770096897245184, 'id_str': '1510770096897245184', 'indices': [90, 104]}];"$100 $LUNA giveaway 💫

To enter: 

1⃣ Like &amp; Retweet this post
2️⃣ Follow @SeuldNFT + @AcademyAliens 
3⃣ Tag 1-3… https://t.co/gQ0CiJFQwZ";$100 $LUNA giveaway 💫 To enter 1 Like &amp Retweet this post 2️ Follow 3 Tag 1-3 https://t.co/gQ0CiJFQwZ;[{'label': 'Positive', 'score': 0.6074748635292053}];Positive;0.6074748635292053;2022-05-05
3281;1522234062039138308;https://twitter.com/twitter/statuses/1522234062039138308;2022-05-05 15:17:36+00:00;The_Defi_Bum;False;(Not Financial Advice);657;2517;1242;5;1;[];recent;[];1/ the plan is for $USDD to be collateralized by $TRX and maintain its peg algorithmically through a mint/burn func… https://t.co/NVAzJLJAIE;1 the plan is for $USDD to be collateralized by $TRX and maintain its peg algorithmically through a mint/burn func https://t.co/NVAzJLJAIE;[{'label': 'Neutral', 'score': 0.8737226724624634}];Neutral;0.8737226724624634;2022-05-05
3135;1522234915462426624;https://twitter.com/twitter/statuses/1522234915462426624;2022-05-05 15:21:00+00:00;NinjaPadCom;True;;0;2092;226;8;2;[];recent;[];"which one do you choose to hold for 5 years? 👇

$XRP
$LUNA
$DOGE
$BTC
$ETH";which one do you choose to hold for 5 years 👇 $XRP $LUNA $DOGE $BTC $ETH;[{'label': 'Neutral', 'score': 0.899977445602417}];Neutral;0.899977445602417;2022-05-05
3149;1522234846831161346;https://twitter.com/twitter/statuses/1522234846831161346;2022-05-05 15:20:43+00:00;3dcute2;False;Tokyo;135;6221;480;60;6;[];recent;[];Peachy babes that are smitten with you, Luna's every dream come true! 😍 Join her this Saturday and watch her fantas… https://t.co/H4w5BsG0Dy;Peachy babes that are smitten with you Luna's every dream come true Join her this Saturday and watch her fantas https://t.co/H4w5BsG0Dy;[{'label': 'Positive', 'score': 0.9693537354469299}];Positive;0.9693537354469299;2022-05-05
3204;1522234514713546752;https://twitter.com/twitter/statuses/1522234514713546752;2022-05-05 15:19:24+00:00;chazXBT;False;US East;317;395;2251;5;0;[];recent;[];Knife catching: gone sexual $LUNA https://t.co/o5WFtUaMEJ;Knife catching gone sexual $LUNA https://t.co/o5WFtUaMEJ;[{'label': 'Neutral', 'score': 0.7446093559265137}];Neutral;0.7446093559265137;2022-05-05
3256;1522234217840709632;https://twitter.com/twitter/statuses/1522234217840709632;2022-05-05 15:18:13+00:00;whooome4;False;;406;742;2774;5;1;[];recent;[{'screen_name': 'jackmallers', 'name': 'Jack Mallers', 'id': 2360241314, 'id_str': '2360241314', 'indices': [12, 24]}, {'screen_name': 'stablekwon', 'name': 'Do Kwon 🌕', 'id': 357317524, 'id_str': '357317524', 'indices': [31, 42]}];"So wen will @jackmallers &amp; @stablekwon team up and allow $UST transactions directly from terra wallet to merchant u… https://t.co/01NxQ5Ssyk";So wen will &amp team up and allow $UST transactions directly from terra wallet to merchant u https://t.co/01NxQ5Ssyk;[{'label': 'Neutral', 'score': 0.8868125081062317}];Neutral;0.8868125081062317;2022-05-05
3255;1522234218021019648;https://twitter.com/twitter/statuses/1522234218021019648;2022-05-05 15:18:13+00:00;JamesWallis;False;London, England;938;3613;39468;5;0;[];recent;[];Luna wants you to vote. Do not disappoint Luna. https://t.co/KNbYyYZ1Fv;Luna wants you to vote Do not disappoint Luna https://t.co/KNbYyYZ1Fv;[{'label': 'Positive', 'score': 0.5882731080055237}];Positive;0.5882731080055237;2022-05-05
3259;1522234200002338816;https://twitter.com/twitter/statuses/1522234200002338816;2022-05-05 15:18:09+00:00;HyperionYield;False;;69;369;149;10;9;[{'text': 'Terra', 'indices': [80, 86]}, {'text': 'hyperionyield', 'indices': [87, 101]}];recent;[];"Due in our next release:
NFT-Viewer on the Hyperboard

https://t.co/jIaGY7NHBZ

#Terra #hyperionyield $LUNA $UST… https://t.co/VyDHSaO0rw";Due in our next release: NFT-Viewer on the Hyperboard https://t.co/jIaGY7NHBZ #Terra #hyperionyield $LUNA $UST https://t.co/VyDHSaO0rw;[{'label': 'Neutral', 'score': 0.8041706681251526}];Neutral;0.8041706681251526;2022-05-05
3208;1522234491548315648;https://twitter.com/twitter/statuses/1522234491548315648;2022-05-05 15:19:19+00:00;demonic__luna;False;minor (16↑18↓) || EN/中Ok!;535;702;10924;11;0;[{'text': 'YugoONAIR', 'indices': [39, 49]}];recent;[];"wdym something special, Yugo? hmmmm? 👀
#YugoONAIR";wdym something special Yugo hmmmm 👀 #YugoONAIR;[{'label': 'Neutral', 'score': 0.5026039481163025}];Neutral;0.5026039481163025;2022-05-05
