;id;url;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;tweet_type;mentions;raw_text;text;sentiment_dict;sentiment_roberta;score_roberta;date
0;1523766041251581953;https://twitter.com/twitter/statuses/1523766041251581953;2022-05-09 20:45:09+00:00;BitcoinMagazine;True;Nashville, TN;747;2410802;22680;5319;828;[{'text': 'bitcoin', 'indices': [63, 71]}];popular;[];BREAKING: Luna Foundation replenishes UST reserves with 28,205 #bitcoin;BREAKING Luna Foundation replenishes UST reserves with 28,205 #bitcoin;[{'label': 'Neutral', 'score': 0.7938445210456848}];Neutral;0.7938445210456848;2022-05-09
3301;1523721624033267712;https://twitter.com/twitter/statuses/1523721624033267712;2022-05-09 17:48:39+00:00;geronimo_73_;False;Puglia, Italia;1042;4698;8260;9;2;[];recent;[];"The Division 2 Gets New Content May 12 With Season 9: Hidden Alliance

&gt; https://t.co/0nMFrbo7AA

Play free between… https://t.co/QTUrpSKIt9";The Division 2 Gets New Content May 12 With Season 9 Hidden Alliance &gt https://t.co/0nMFrbo7AA Play free between https://t.co/QTUrpSKIt9;[{'label': 'Neutral', 'score': 0.8175501823425293}];Neutral;0.8175501823425293;2022-05-09
3319;1523721491312906240;https://twitter.com/twitter/statuses/1523721491312906240;2022-05-09 17:48:07+00:00;warsaw2323;False;Wheaton, MD;1931;129;2324;11;1;[];recent;[{'screen_name': 'justinsuntron', 'name': 'H.E. Justin Sun 🅣🌞🇬🇩', 'id': 902839045356744704, 'id_str': '902839045356744704', 'indices': [0, 14]}, {'screen_name': 'stablekwon', 'name': 'Do Kwon 🌕', 'id': 357317524, 'id_str': '357317524', 'indices': [15, 26]}];"@justinsuntron @stablekwon Justin and Do are masters of manipulations!..
Justin Fked Trx holders back in 2017.. and… https://t.co/lEk4Xt6XRf";Justin and Do are masters of manipulations!.. Justin Fked Trx holders back in 2017. and https://t.co/lEk4Xt6XRf;[{'label': 'Negative', 'score': 0.780356764793396}];Negative;0.780356764793396;2022-05-09
3408;1523720997798825984;https://twitter.com/twitter/statuses/1523720997798825984;2022-05-09 17:46:09+00:00;CARUS_AR;False;The Netherlands;5384;6636;45968;12;0;[];recent;[];Removed LUNA adding the 2% we had there to NEAR. UST has lost it's peg, Anchor is draining fast. Don't want to risk… https://t.co/fIVN3bxDHO;Removed LUNA adding the 2 we had there to NEAR UST has lost it's peg Anchor is draining fast Don't want to risk https://t.co/fIVN3bxDHO;[{'label': 'Negative', 'score': 0.7972361445426941}];Negative;0.7972361445426941;2022-05-09
3366;1523721215310843909;https://twitter.com/twitter/statuses/1523721215310843909;2022-05-09 17:47:01+00:00;AraDG11;False;;5000;3435;2137;9;0;[];recent;[];Luna peg this, luna peg that. How about you shut up and peg me?;Luna peg this luna peg that How about you shut up and peg me?;[{'label': 'Neutral', 'score': 0.5444960594177246}];Neutral;0.5444960594177246;2022-05-09
3380;1523721133430013952;https://twitter.com/twitter/statuses/1523721133430013952;2022-05-09 17:46:42+00:00;YodaResearch;False;⛓;225;6240;3978;40;2;[{'text': 'LUNAtics', 'indices': [62, 71]}];recent;[];"$UST flipped $LUNA

not the flip I wanted to see. sad day for #LUNAtics it is";$UST flipped $LUNA not the flip I wanted to see sad day for #LUNAtics it is;[{'label': 'Negative', 'score': 0.8899403214454651}];Negative;0.8899403214454651;2022-05-09
3184;1523722201517678592;https://twitter.com/twitter/statuses/1523722201517678592;2022-05-09 17:50:56+00:00;DaCryptoGhost;False;;18334;93883;12715;73;22;[{'text': 'bitcoin', 'indices': [7, 15]}, {'text': 'Ethereum', 'indices': [16, 25]}, {'text': 'Bnb', 'indices': [26, 30]}, {'text': 'LUNA', 'indices': [37, 42]}];recent;[];"Thanks #bitcoin #Ethereum #Bnb &amp; #LUNA 🤒🤕🤢💀 https://t.co/WdcwGjaKwv";Thanks #bitcoin #Ethereum #Bnb &amp #LUNA 🤒🤕🤢 https://t.co/WdcwGjaKwv;[{'label': 'Negative', 'score': 0.8557249903678894}];Negative;0.8557249903678894;2022-05-09
3185;1523722200226082816;https://twitter.com/twitter/statuses/1523722200226082816;2022-05-09 17:50:56+00:00;_CryptoMaze_;False;ประเทศไทย;78;6347;7406;25;3;[{'text': 'Luna', 'indices': [8, 13]}, {'text': 'btc', 'indices': [73, 77]}, {'text': 'crypto', 'indices': [78, 85]}, {'text': 'Cryptos', 'indices': [86, 94]}];recent;[];"Welcome #Luna to 50$ Region

I wonder who warned people back in March 🤔

#btc #crypto #Cryptos https://t.co/di3eb3g3FU";Welcome #Luna to 50 Region I wonder who warned people back in March 🤔 #btc #crypto #Cryptos https://t.co/di3eb3g3FU;[{'label': 'Neutral', 'score': 0.5570347309112549}];Neutral;0.5570347309112549;2022-05-09
3129;1523722592472895488;https://twitter.com/twitter/statuses/1523722592472895488;2022-05-09 17:52:30+00:00;luna_exx;False;;3;1897;140;64;0;[];recent;[];I forgot about this account lol;I forgot about this account lol;[{'label': 'Neutral', 'score': 0.48001182079315186}];Neutral;0.48001182079315186;2022-05-09
3148;1523722467742605312;https://twitter.com/twitter/statuses/1523722467742605312;2022-05-09 17:52:00+00:00;pronewchaos;False;Block Lattice;4552;7303;53499;25;1;[];recent;[];Imagine buying $48 per $LUNA again. What a time to be alive..🚀🚀🚀🚀🚀🌖 https://t.co/BaD6rfibWd;Imagine buying $48 per $LUNA again What a time to be alive..🚀🚀🚀🚀🚀 https://t.co/BaD6rfibWd;[{'label': 'Positive', 'score': 0.956093430519104}];Positive;0.956093430519104;2022-05-09
3265;1523721795958087680;https://twitter.com/twitter/statuses/1523721795958087680;2022-05-09 17:49:20+00:00;pedroexplore1;False;;141;12781;1579;21;1;[];recent;[];Luna holders when they remember profiting during expansions also means losing during contractions. https://t.co/lVyKCbB8QI;Luna holders when they remember profiting during expansions also means losing during contractions https://t.co/lVyKCbB8QI;[{'label': 'Neutral', 'score': 0.6048333048820496}];Neutral;0.6048333048820496;2022-05-09
3237;1523721914765611008;https://twitter.com/twitter/statuses/1523721914765611008;2022-05-09 17:49:48+00:00;mindalunatic;False;;557;3351;2717;13;0;[];recent;[];Man only issue is all the markets are down as I need more liquidity to go shopping $luna $ust;Man only issue is all the markets are down as I need more liquidity to go shopping $luna $ust;[{'label': 'Negative', 'score': 0.6342848539352417}];Negative;0.6342848539352417;2022-05-09
3438;1523720826528608256;https://twitter.com/twitter/statuses/1523720826528608256;2022-05-09 17:45:29+00:00;ChartGuys;False;;1392;51653;23746;18;1;[{'text': 'Crypto', 'indices': [33, 40]}];recent;[];"Going LIVE in 15 minutes to talk #Crypto charts and see if any bounces are shaping up. 

https://t.co/dAQqU1guvO

$BTC $ETH $LUNA $GMT";Going LIVE in 15 minutes to talk #Crypto charts and see if any bounces are shaping up https://t.co/dAQqU1guvO $BTC $ETH $LUNA $GMT;[{'label': 'Neutral', 'score': 0.8511013388633728}];Neutral;0.8511013388633728;2022-05-09
3661;1523719586926915584;https://twitter.com/twitter/statuses/1523719586926915584;2022-05-09 17:40:33+00:00;ThoriumUST;False;travelling the cosmos ;4784;3395;1858;9;0;[{'text': 'BTC', 'indices': [52, 56]}];recent;[];You know what to do, but have you got the strength? #BTC$luna;You know what to do but have you got the strength #BTC$luna;[{'label': 'Neutral', 'score': 0.7314609885215759}];Neutral;0.7314609885215759;2022-05-09
3625;1523719797670019073;https://twitter.com/twitter/statuses/1523719797670019073;2022-05-09 17:41:23+00:00;erialcy1;False;;662;395;10636;31;7;[];recent;[];"The fact that they included the songs as the poster is truly gorgeous🥹 
Even from title track to side tracks like 月… https://t.co/XR8yN2TEmx";The fact that they included the songs as the poster is truly gorgeous Even from title track to side tracks like 月 https://t.co/XR8yN2TEmx;[{'label': 'Positive', 'score': 0.9626349806785583}];Positive;0.9626349806785583;2022-05-09
3595;1523720002020384768;https://twitter.com/twitter/statuses/1523720002020384768;2022-05-09 17:42:12+00:00;LunaTheDuck001;False;Terraverse;0;1373;1039;24;2;[];recent;[];"$LUNA The Duck is free falling. 

No caption needed friends.☹️ https://t.co/MnEGMzS5T6";$LUNA The Duck is free falling No caption needed friends.☹ https://t.co/MnEGMzS5T6;[{'label': 'Neutral', 'score': 0.6175422668457031}];Neutral;0.6175422668457031;2022-05-09
3723;1523719238057598981;https://twitter.com/twitter/statuses/1523719238057598981;2022-05-09 17:39:10+00:00;TheStalwart;False;New York City;6485;312091;394738;13;0;[];recent;[{'screen_name': 'MayankSeksaria', 'name': 'Mayank Seksaria', 'id': 467756441, 'id_str': '467756441', 'indices': [0, 15]}];@MayankSeksaria UST (a stablecoin that’s built on the Terra network, and partially backed by Luna) now bigger than the network itself.;UST (a stablecoin that’s built on the Terra network and partially backed by Luna now bigger than the network itself.;[{'label': 'Neutral', 'score': 0.6357158422470093}];Neutral;0.6357158422470093;2022-05-09
3712;1523719294974308352;https://twitter.com/twitter/statuses/1523719294974308352;2022-05-09 17:39:23+00:00;mrtotalsuccess;False;United States;975;1870;4816;13;0;[];recent;[{'screen_name': 'alice_finance', 'name': 'Alice', 'id': 1358674352808415232, 'id_str': '1358674352808415232', 'indices': [95, 109]}];"I’ve done all I could to protect my $LUNA LTV. I’m sitting at $48 liquidation

I have money in @alice_finance but i… https://t.co/1Q8Q9hSqcy";I’ve done all I could to protect my $LUNA LTV I’m sitting at $48 liquidation I have money in _finance but i https://t.co/1Q8Q9hSqcy;[{'label': 'Neutral', 'score': 0.6892223358154297}];Neutral;0.6892223358154297;2022-05-09
